time/days,B.S concentration/(g/L),nostoc concentration
0.000694444444444444,0.100093319777083,0.200021627317803
0.00138888888888889,0.100186283772705,0.200043245441514
0.00208333333333333,0.100278893307622,0.20006485441462
0.00277777777777778,0.100371149699922,0.200086454280464
0.00347222222222222,0.100463054265007,0.200108045082253
0.00416666666666667,0.100554608315567,0.200129626863054
0.00486111111111111,0.100645813161559,0.200151199665793
0.00555555555555556,0.100736670110183,0.200172763533258
0.00625,0.100827180465863,0.200194318508099
0.00694444444444444,0.100917345530226,0.200215864632826
0.00763888888888889,0.101007166602079,0.20023740194981
0.00833333333333333,0.101096644977391,0.200258930501284
0.00902777777777778,0.101185781949274,0.20028045032934
0.00972222222222222,0.101274578807961,0.200301961475936
0.0104166666666667,0.10136303684079,0.200323463982888
0.0111111111111111,0.101451157332183,0.200344957891874
0.0118055555555556,0.101538941563631,0.200366443244436
0.0125,0.101626390813675,0.200387920081976
0.0131944444444444,0.101713506357887,0.20040938844576
0.0138888888888889,0.101800289468856,0.200430848376913
0.0145833333333333,0.101886741416173,0.200452299916427
0.0152777777777778,0.10197286346641,0.200473743105152
0.0159722222222222,0.102058656883107,0.200495177983806
0.0166666666666667,0.102144122926759,0.200516604592964
0.0173611111111111,0.102229262854798,0.200538022973069
0.0180555555555556,0.10231407792158,0.200559433164424
0.01875,0.102398569378371,0.200580835207198
0.0194444444444444,0.102482738473333,0.200602229141421
0.0201388888888889,0.102566586451509,0.200623615006989
0.0208333333333333,0.102650114554814,0.200644992843661
0.0215277777777778,0.102733324022017,0.200666362691059
0.0222222222222222,0.102816216088734,0.200687724588672
0.0229166666666667,0.102898791987414,0.200709078575851
0.0236111111111111,0.102981052947323,0.200730424691813
0.0243055555555556,0.103063000194541,0.200751762975638
0.025,0.103144634951943,0.200773093466275
0.0256944444444444,0.103225958439195,0.200794416202534
0.0263888888888889,0.103306971872737,0.200815731223093
0.0270833333333333,0.103387676465779,0.200837038566496
0.0277777777777778,0.103468073428288,0.20085833827115
0.0284722222222222,0.103548163966978,0.20087963037533
0.0291666666666667,0.103627949285303,0.200900914917179
0.0298611111111111,0.103707430583447,0.200922191934704
0.0305555555555556,0.103786609058314,0.20094346146578
0.03125,0.103865485903524,0.200964723548148
0.0319444444444444,0.103944062309399,0.200985978219416
0.0326388888888889,0.10402233946296,0.201007225517062
0.0333333333333333,0.104100318547918,0.201028465478429
0.0340277777777778,0.104178000744667,0.201049698140729
0.0347222222222222,0.104255387230275,0.201070923541042
0.0354166666666667,0.104332479178481,0.201092141716315
0.0361111111111111,0.104409277759687,0.201113352703366
0.0368055555555556,0.104485784140948,0.201134556538881
0.0375,0.104561999485975,0.201155753259413
0.0381944444444444,0.104637924955119,0.201176942901388
0.0388888888888889,0.104713561705374,0.201198125501098
0.0395833333333333,0.104788910890366,0.201219301094708
0.0402777777777778,0.104863973660353,0.20124046971825
0.0409722222222222,0.104938751162215,0.201261631407629
0.0416666666666667,0.105013244539454,0.201282786198619
0.0423611111111111,0.105087454932188,0.201303934126866
0.0430555555555556,0.105161383477146,0.201325075227885
0.04375,0.105235031307667,0.201346209537064
0.0444444444444444,0.105308399553693,0.201367337089663
0.0451388888888889,0.105381489341768,0.201388457920814
0.0458333333333333,0.105454301795035,0.201409572065518
0.0465277777777778,0.10552683803323,0.201430679558652
0.0472222222222222,0.105599099172684,0.201451780434966
0.0479166666666667,0.105671086326316,0.201472874729079
0.0486111111111111,0.105742800603635,0.201493962475487
0.0493055555555556,0.105814243110733,0.201515043708558
0.05,0.105885414950287,0.201536118462534
0.0506944444444444,0.105956317221556,0.20155718677153
0.0513888888888889,0.106026951020379,0.201578248669538
0.0520833333333333,0.106097317439173,0.201599304190423
0.0527777777777778,0.106167417566934,0.201620353367924
0.0534722222222222,0.106237252489234,0.201641396235656
0.0541666666666667,0.106306823288223,0.20166243282711
0.0548611111111111,0.106376131042623,0.201683463175652
0.0555555555555556,0.106445176827734,0.201704487314525
0.05625,0.106513961715427,0.201725505276848
0.0569444444444444,0.106582486774151,0.201746517095615
0.0576388888888889,0.106650753068928,0.201767522803699
0.0583333333333333,0.106718761661353,0.20178852243385
0.0590277777777778,0.106786513609598,0.201809516018694
0.0597222222222222,0.10685400996841,0.201830503590736
0.0604166666666667,0.106921251789112,0.20185148518236
0.0611111111111111,0.106988240119604,0.201872460825826
0.0618055555555556,0.107054976004363,0.201893430553275
0.0625,0.107121460484447,0.201914394396725
0.0631944444444444,0.107187694597493,0.201935352388074
0.0638888888888889,0.107253679377719,0.201956304559101
0.0645833333333333,0.107319415855928,0.201977250941464
0.0652777777777778,0.107384905059507,0.201998191566699
0.0659722222222222,0.10745014801243,0.202019126466226
0.0666666666666667,0.10751514573526,0.202040055671344
0.0673611111111111,0.107579899245149,0.202060979213234
0.0680555555555555,0.107644409555845,0.202081897122956
0.06875,0.107708677677689,0.202102809431455
0.0694444444444444,0.107772704617622,0.202123716169556
0.0701388888888889,0.107836491379183,0.202144617367967
0.0708333333333333,0.107900038962517,0.202165513057279
0.0715277777777778,0.107963348364374,0.202186403267965
0.0722222222222222,0.108026420578111,0.202207288030382
0.0729166666666667,0.1080892565937,0.20222816737477
0.0736111111111111,0.108151857397727,0.202249041331253
0.0743055555555556,0.108214223973397,0.202269909929841
0.075,0.108276357300538,0.202290773200426
0.0756944444444444,0.108338258355601,0.202311631172785
0.0763888888888889,0.10839992811167,0.202332483876583
0.0770833333333333,0.108461367538458,0.202353331341368
0.0777777777777778,0.108522577602318,0.202374173596573
0.0784722222222222,0.108583559266243,0.202395010671519
