time/days,f_i of nostoc,C,N,P
0.000694444444444444,0.181604235224007,0.981104266496596,0.224921222917983,0.181582209873344
0.00138888888888889,0.181413717669341,0.981088174343627,0.224698489849311,0.181391781244097
0.00208333333333333,0.181224262358073,0.981072149963734,0.224476927094202,0.181202415328028
0.00277777777777778,0.181035862676552,0.981056193095987,0.224256527528512,0.181014105497611
0.00347222222222222,0.180848512058692,0.981040303480078,0.22403728407756,0.180826845173113
0.00416666666666667,0.180662203985574,0.981024480856317,0.223819189715731,0.180640627822196
0.00486111111111111,0.180476931985054,0.981008724965645,0.223602237466091,0.180455446959516
0.00555555555555556,0.180292689631371,0.980993035549628,0.223386420399998,0.180271296146334
0.00625,0.180109470544767,0.980977412350467,0.22317173163672,0.180088168990125
0.00694444444444444,0.179927268391099,0.980961855110998,0.222958164343056,0.179906059144195
0.00763888888888889,0.179746076881462,0.980946363574693,0.22274571173296,0.179724960307295
0.00833333333333333,0.179565889771819,0.98093093748567,0.22253436706717,0.179544866223247
0.00902777777777778,0.179386700862621,0.980915576588689,0.222324123652837,0.179365770680568
0.00972222222222222,0.179208503998446,0.980900280629158,0.222114974843157,0.179187667512098
0.0104166666666667,0.179031293067633,0.980885049353136,0.221906914037012,0.179010550594632
0.0111111111111111,0.178855062001916,0.980869882507335,0.22169993467861,0.178834413848559
0.0118055555555556,0.178679804776075,0.980854779839121,0.221494030257125,0.178659251237498
0.0125,0.178505515407573,0.98083974109652,0.221289194306345,0.178485056767941
0.0131944444444444,0.178332187956209,0.98082476602822,0.221085420404323,0.1783118244889
0.0138888888888889,0.17815981652377,0.980809854383568,0.220882702173031,0.178139548491557
0.0145833333333333,0.177988395253686,0.980795005912582,0.220681033278009,0.177968222908915
0.0152777777777778,0.177817918330688,0.980780220365943,0.220480407428031,0.177797841915451
0.0159722222222222,0.17764837998047,0.980765497495005,0.220280818374764,0.177628399726783
0.0166666666666667,0.177479774469353,0.980750837051793,0.220082259912431,0.177459890599324
0.0173611111111111,0.177312096103956,0.980736238789006,0.21988472587748,0.177292308829951
0.0180555555555556,0.177145339230861,0.980721702460022,0.219688210148257,0.177125648755673
0.01875,0.176979498236293,0.980707227818893,0.219492706644675,0.176959904753304
0.0194444444444444,0.176814567545796,0.980692814620355,0.21929820932789,0.176795071239134
0.0201388888888889,0.176650541623908,0.980678462619823,0.219104712199984,0.17663114266861
0.0208333333333333,0.176487414973852,0.980664171573399,0.218912209303645,0.176468113536012
0.0215277777777778,0.176325182137213,0.980649941237867,0.218720694721851,0.176305978374144
0.0222222222222222,0.176163837693637,0.9806357713707,0.218530162577556,0.176144731754013
0.0229166666666667,0.176003376260511,0.980621661730061,0.218340607033382,0.175984368284523
0.0236111111111111,0.175843792492667,0.980607612074799,0.218152022291311,0.175824882612163
0.0243055555555556,0.175685081082077,0.980593622164459,0.217964402592382,0.175666269420707
0.025,0.175527236757548,0.980579691759277,0.217777742216385,0.17550852343091
0.0256944444444444,0.175370254284432,0.980565820620184,0.217592035481565,0.175351639400205
0.0263888888888889,0.175214128464326,0.980552008508806,0.217407276744325,0.175195612122413
