time/days,B.S,nostoc,total
0.000694444444444444,0.00304366159785419,0.00147866316859281,0.004522324766447
0.00138888888888889,0.00608890897952806,0.00295736890127014,0.0090462778807982
0.00208333333333333,0.00913573599820252,0.00443611758258149,0.013571853580784
0.00277777777777778,0.0121841365362166,0.0059149095959308,0.0180990461321475
0.00347222222222222,0.0152341045049276,0.0073937453235764,0.022627849828504
0.00416666666666667,0.018285633844571,0.00887262514663096,0.027158258991202
0.00486111111111111,0.0213387185241228,0.0103515494450615,0.0316902679691843
0.00555555555555556,0.0243933525411605,0.0118305185976897,0.0362238711388502
0.00625,0.0274495299217264,0.0133095329821916,0.040759062903918
0.00694444444444444,0.0305072447201909,0.0147885929750981,0.045295837695289
0.00763888888888889,0.0335664910191164,0.0162676989517952,0.0498341899709116
0.00833333333333333,0.0366272629291222,0.017746851286524,0.0543741142156462
0.00902777777777778,0.0396895545887501,0.0192260503523813,0.0589156049411313
0.00972222222222222,0.0427533601643301,0.0207052965213195,0.0634586566856497
0.0104166666666667,0.0458186738498477,0.0221845901641477,0.0680032640139954
0.0111111111111111,0.0488854898668109,0.0236639316505314,0.0725494215173424
0.0118055555555556,0.0519538024641188,0.0251433213489935,0.0770971238131123
0.0125,0.0550236059179299,0.0266227596269144,0.0816463655448443
0.0131944444444444,0.0580948945315321,0.0281022468505328,0.086197141382065
0.0138888888888889,0.0611676626352124,0.0295817833849465,0.0907494460201589
0.0145833333333333,0.0642419045861279,0.0310613695941124,0.0953032741802402
0.0152777777777778,0.0673176147681769,0.0325410058408477,0.0998586206090245
0.0159722222222222,0.0703947875918713,0.0340206924868305,0.104415480078702
0.0166666666666667,0.0734734174942094,0.0355004298926004,0.10897384738681
0.0173611111111111,0.0765534989385488,0.0369802184175595,0.113533717356108
0.0180555555555556,0.0796350264144804,0.038460058419973,0.118095084834453
0.01875,0.0827179944377035,0.0399399502569701,0.122657944694674
0.0194444444444444,0.0858023975499007,0.0414198942845449,0.127222291834446
0.0201388888888889,0.0888882303186135,0.0428998908575575,0.131788121176171
0.0208333333333333,0.0919754873371192,0.0443799403297348,0.136355427666854
0.0215277777777778,0.0950641632243078,0.0458600430536713,0.140924206277979
0.0222222222222222,0.0981542526245596,0.0473401993808306,0.14549445200539
0.0229166666666667,0.101245750207624,0.0488204096615459,0.15006615986917
0.0236111111111111,0.104338650668497,0.0503006742450217,0.154639324913519
0.0243055555555556,0.107432948727303,0.0517809934793342,0.159213942206637
0.025,0.110528639129173,0.0532613677114333,0.163790006840606
0.0256944444444444,0.113625716644125,0.0547417972871429,0.168367513931268
0.0263888888888889,0.116724176066949,0.0562222825511628,0.172946458618112
0.0270833333333333,0.119824012217084,0.0577028238470696,0.177526836064153
0.0277777777777778,0.122925219938501,0.0591834215173182,0.18210864145582
0.0284722222222222,0.126027794099592,0.0606640759032428,0.186691870002835
0.0291666666666667,0.129131729593046,0.0621447873450584,0.191276516938105
0.0298611111111111,0.132237021335738,0.0636255561818623,0.1958625775176
0.0305555555555556,0.135343664268611,0.0651063827516353,0.200450047020246
0.03125,0.138451653356564,0.0665872673912431,0.205038920747807
0.0319444444444444,0.141560983588336,0.068068210436438,0.209629194024774
0.0326388888888889,0.144671649976393,0.0695492122218599,0.214220862198252
0.0333333333333333,0.147783647556814,0.0710302730810382,0.218813920637853
0.0340277777777778,0.150896971389183,0.0725113933463934,0.223408364735577
0.0347222222222222,0.154011616556471,0.0739925733492382,0.228004189905709
0.0354166666666667,0.157127578164928,0.0754738134197794,0.232601391584708
0.0361111111111111,0.160244851343973,0.0769551138871194,0.237199965231092
0.0368055555555556,0.163363431246081,0.0784364750792579,0.241799906325339
0.0375,0.166483313046676,0.0799178973230935,0.24640121036977
0.0381944444444444,0.169604491944021,0.0813993809444253,0.251003872888447
0.0388888888888889,0.17272696315911,0.0828809262679546,0.255607889427065
0.0395833333333333,0.175850721935557,0.0843625336172868,0.260213255552844
0.0402777777777778,0.178975763539493,0.085844203314933,0.264819966854426
0.0409722222222222,0.182102083259455,0.0873259356823116,0.269428018941766
0.0416666666666667,0.185229676406283,0.0888077310397504,0.274037407446033
0.0423611111111111,0.188358538313011,0.0902895897064881,0.278648128019499
0.0430555555555556,0.191488664334763,0.0917715120006766,0.28326017633544
0.04375,0.19462004984865,0.0932534982393821,0.287873548088033
0.0444444444444444,0.197752690253662,0.0947355487385877,0.29248823899225
0.0451388888888889,0.200886580970565,0.0962176638131947,0.29710424478376
0.0458333333333333,0.204021717441801,0.0976998437770251,0.301721561218826
0.0465277777777778,0.207158095131379,0.0991820889428228,0.306340184074202
0.0472222222222222,0.21029570952478,0.100664399622256,0.310960109147036
0.0479166666666667,0.213434556128848,0.10214677612592,0.315581332254768
0.0486111111111111,0.216574630471695,0.103629218763337,0.320203849235032
0.0493055555555556,0.219715928102595,0.10511172784296,0.324827655945555
0.05,0.222858444591887,0.106594303672174,0.329452748264061
0.0506944444444444,0.226002175530873,0.108076946557298,0.334079122088171
0.0513888888888889,0.22914711653172,0.109559656803588,0.338706773335308
0.0520833333333333,0.232293263227359,0.111042434715238,0.343335697942597
0.0527777777777778,0.235440611271392,0.112525280595382,0.347965891866774
0.0534722222222222,0.238589156337985,0.114008194746097,0.352597351084082
0.0541666666666667,0.24173889412178,0.115491177468405,0.357230071590186
0.0548611111111111,0.244889820337792,0.116974229062274,0.361864049400066
0.0555555555555556,0.248041930721314,0.118457349826621,0.366499280547935
0.05625,0.251195221027822,0.119940540059314,0.371135761087135
0.0569444444444444,0.254349687032877,0.121423800057175,0.375773487090051
